Product,Category,API?,Auth,Docs URL,Verified,Live Credential?,JPD Role,Priority,Notes
Skool,Discovery/Community,No,Browser,none,Not tested,No,"Highest-intent pain source (A1b)",P2,"No public API. Runbook HT-003."
AltText.ai,SEO,Yes,X-API-Key,alttext.ai/apidocs,2026-07-20 200,No,"Image alt text for sales pages",P3,
Odin AI,Automation,Yes,x-api-key + x-api-secret,learn.getodin.ai,2026-07-20 200,No,"Unassigned",P4,"Needs BOTH key and secret."
Hippo Video,Media,Yes,email+api_key -> token,help.hippovideo.io,2026-07-20 200,No,"Video hosting + analytics",P3,
Foxly,Attribution,Yes,api-key,help.foxlyme.com,2026-07-20 200,No,"Trackable links = attribution (G6)",P2,"Attribution is how gate calibration becomes data-driven."
pxl.to,Attribution,Yes,Bearer,help.pxl.to/docs/api-requests,2026-07-20 200,No,"Short links + QR + analytics",P3,"Separate company from Foxly."
DMARC Report,Deliverability,Yes,Token,docs.dmarcreport.com/api,2026-07-20 200,No,"Email deliverability monitoring",P3,
Subscribr,Content,Gated,Bearer,subscribr.ai/api/docs/reference/ai,2026-07-20,No,"YouTube scripts",P4,"Gated to paid Automation/Scale - LTD likely excluded."
Fliki,Media,Gated,Bearer,developer.fliki.ai/docs/intro,2026-07-20,No,"Text-to-video + TTS",P4,"Docs state Enterprise privilege + approval form."
Periodix,Outreach,Yes,Bearer,docs.actions.periodix.net,2026-07-20 200,No,"LinkedIn outreach",P4,"Separately metered $10-49/mo - NOT in the LTD."
Plai,Ads,Unverified,X-API-Key,plai-public-api.web.app,2026-07-20,No,"Not planned",P4,"docs.plai.io 404s. Creative mgmt not campaign launch."
Reoon,Email verify,Yes,Query param,reoon.com,Not tested,No,"Verify voice emails before outreach (F5b)",P2,"Key is a QUERY PARAM - never log full request URLs."
Spiritme,DEAD,No,-,-,2026-07-20 shut down 2025-09-03,No,DO NOT USE,X,"Domain 301s to a Vietnamese sports-streaming site."
Augmental Learning,DEAD,No,-,-,2026-07-20 NXDOMAIN,No,DO NOT USE,X,
BlogHunch,DEAD,No,-,-,2026-07-20 NXDOMAIN,No,DO NOT USE,X,
RankAtom,DEAD,No,-,-,company shut 2025-04-30,No,DO NOT USE,X,
TopicMojo,DEAD,No,-,-,removed from Pimlico 2026-07-21,No,DO NOT USE,X,"Was making real calls before removal."
SuperCopy.ai,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
Taja,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
Maekersuite,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
StoryBlaze,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,"Inbound-to-WordPress only."
Katalist,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
Magic Bookifier,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
Jupitrr,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
Nytro SEO,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,"'API' is marketing for a JS snippet."
WebSite Auditor,Manual-only,No,Desktop,-,2026-07-20,No,"Human task card",P4,"Desktop software."
SpiderNow,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
TruConversion,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
Intellifluence,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
Adsbot,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
KingSumo,Manual-only,No,Webhooks/Zapier,-,2026-07-20,No,"Human task card",P4,
QR Diffusion,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
Vzy,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
Steppit,Manual-only,No,Zapier-only,-,2026-07-20,No,"Human task card",P4,"Right actions, but Zapier in the payment->delivery path is unacceptable."
Wope,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
KWHero,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,
Biteplay,Manual-only,No,UI,-,2026-07-20,No,"Human task card",P4,"MISCATEGORISED elsewhere: it is YouTube ads research, not video generation."
MarkCopy,Unverified,Claimed,?,apidocs.markcopy.ai (fails to connect),2026-07-20,No,"Needs vendor email",P4,
Steve.AI,Unverified,Claimed,?,none published,2026-07-20,No,"Needs vendor email",P4,
Synthesys AI Studio,Unverified,Claimed,?,none published,2026-07-20,No,"Needs vendor email",P4,
Slice Knowledge,Unverified,Claimed,?,none published,2026-07-20,No,"Needs vendor email",P4,
Textfocus,Unverified,Claimed,?,none published,2026-07-20,No,"Needs vendor email",P4,
